Date,Close,prediction,sentimen
1/1/2025,94419.75781,93846.51314,negatif
1/9/2025,92484.03906,92663.69807,negatif
1/23/2025,103960.1719,104195.0923,positif
1/30/2025,104735.3047,105047.5846,netral
2/5/2025,96615.44531,97623.03755,negatif
2/6/2025,96593.29688,96842.00549,netral
2/18/2025,95539.54688,95013.89261,negatif
2/20/2025,98333.9375,97630.79054,positif
3/15/2025,84343.10938,84117.90072,negatif
3/21/2025,84043.24219,84076.42053,netral
3/26/2025,86900.88281,87308.65612,positif
3/30/2025,82334.52344,82034.22794,negatif
4/3/2025,83102.82813,82554.39872,netral
4/8/2025,76271.95313,78423.78356,negatif
4/14/2025,84542.39063,84536.3738,positif
4/21/2025,87518.90625,86837.12636,positif
4/25/2025,94720.5,94294.86287,positif
5/9/2025,102970.8516,103928.5289,positif
5/11/2025,104106.3594,104081.8894,positif
5/12/2025,102812.9531,103636.7011,negatif
5/16/2025,103489.2891,103505.3465,netral
5/18/2025,106446.0078,104666.9283,positif
5/21/2025,109678.0781,108345.129,positif
5/23/2025,107287.7969,110309.554,negatif
5/27/2025,108994.6406,109346.7855,positif
6/1/2025,105652.1016,104654.0211,negatif
6/2/2025,105881.5313,105041.8059,netral
6/5/2025,101575.9531,103512.7467,negatif
6/11/2025,108686.625,109648.4467,positif
6/12/2025,105929.0547,107057.9412,negatif
6/13/2025,106090.9688,103950.3322,netral
6/14/2025,105472.4063,104918.9895,netral
7/4/2025,108034.3359,109032.9431,positif
7/8/2025,108950.2734,108103.6502,netral
7/10/2025,115987.2031,113967.7203,positif
7/20/2025,117300.7891,117330.8469,positif
7/27/2025,119448.4922,118430.4545,positif
8/1/2025,113320.0859,113964.4702,negatif
8/9/2025,116500.3594,116904.6755,positif
8/10/2025,119306.7578,117419.3097,positif
8/18/2025,116252.3125,116112.5398,negatif
8/25/2025,110124.3516,111133.5191,negatif
8/26/2025,111802.6563,109770.0909,positif
8/31/2025,108236.7109,108054.3837,negatif
9/14/2025,115407.6563,115430.4458,positif
10/4/2025,122425.4297,122322.9885,positif
10/8/2025,123354.8672,122004.4203,netral
10/10/2025,113214.3672,116183.5111,negatif
10/11/2025,110807.8828,110056.828,negatif
10/16/2025,108186.0391,109220.504,negatif
10/23/2025,110069.7266,108894.8677,positif
10/24/2025,111033.9219,110780.2574,netral
11/5/2025,103891.8359,100794.8886,negatif
11/17/2025,92093.875,93655.66518,negatif
11/23/2025,86805.00781,86024.44853,negatif
11/30/2025,90394.3125,90889.02855,positif
12/6/2025,89272.375,88784.41932,negatif
12/8/2025,90640.20313,90971.80762,positif
12/9/2025,92691.71094,92368.3385,positif
12/13/2025,90298.71094,89511.97121,negatif
12/17/2025,86143.75781,88191.27245,negatif
12/18/2025,85462.50781,87123.56306,netral
12/21/2025,88621.75,88600.70076,positif
12/27/2025,87802.15625,87323.40168,netral
12/28/2025,87835.83594,87605.53905,netral
